Country,State,Year,City,Investment,Central_assistance_sanctioned,Central_assistance_released,Houses_sanctioned,Houses_grounded,Houses_completed,Grounding_rate,Completion_rate,Grounded_completion_rate,Investment_per_house,Assistance_release_rate
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2025","Port Blair, Municipality",95.83,5.84,2.93,376.0,376.0,151.0,1.0,0.4015957446808511,0.4015957446808511,0.2548670212765957,0.5017123287671234
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Addanki, Municipality",194.41,66.53,34.02,4388.0,3228.0,2173.0,0.7356426618049225,0.49521422060164083,0.6731722428748451,0.0443049225159526,0.5113482639410792
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Adoni, Municipality",701.24,220.56,129.2,14605.0,11305.0,9405.0,0.7740499828825744,0.6439575487846628,0.8319327731092437,0.04801369394043136,0.5857816467174465
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Akiveedu, Town Panchayat",42.86,17.22,9.77,1136.0,963.0,579.0,0.8477112676056338,0.5096830985915493,0.6012461059190031,0.03772887323943662,0.5673635307781649
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Allagadda, Municipality",202.95,53.74,45.32,3537.0,3454.0,3266.0,0.976533785694091,0.9233813966638394,0.9455703532136653,0.05737913486005089,0.8433196873836992
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Alluru, Town Panchayat",45.47,17.27,6.91,1151.0,1012.0,384.0,0.8792354474370113,0.3336229365768897,0.3794466403162055,0.03950477845351868,0.40011580775911987
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Amadalavalasa, Municipality",219.76,81.45,53.77,5399.0,4343.0,3139.0,0.804408223745138,0.5814039636969809,0.7227722772277227,0.04070383404334136,0.6601596071209331
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Amalapuram Development Authority,112.76,49.24,44.43,3283.0,3283.0,2183.0,1.0,0.6649406031069144,0.6649406031069144,0.03434663417605849,0.9023151909017059
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Amalapuram, Municipality",205.65,57.39,31.52,3731.0,2747.0,2147.0,0.7362637362637363,0.5754489413025998,0.7815799053512923,0.05511927097292951,0.5492246035894756
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Anakapalle, Municipal Corporation",102.93,29.78,15.5,1815.0,1485.0,996.0,0.8181818181818182,0.5487603305785124,0.6707070707070707,0.0567107438016529,0.5204835460040296
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025","Anantapur, Municipal Corporation",944.93,298.7,320.76,19462.0,18358.0,7298.0,0.9432740725516391,0.37498715445483505,0.39753785815448306,0.04855256397081492,1.073853364579846
